Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2043556,2043556,Goethite,2837,Fe 58.05%;  O 26.34%;  Si 9.11%;  Mg 5.12%;  Al 1.37%;  C 0%;,0.00,1.07,6.47
2043557,2043557,Hematite,3397,Fe 71.64%;  O 27.5%;  Si 0.86%;  C 0%;,0.00,1.17,96.19
2043558,2043558,Goethite + Si,2325,Fe 44.83%;  O 39.83%;  Si 13.17%;  Al 2.17%;  C 0%;,0.00,1.08,9.92
2043559,2043559,Smectite Fe-rich,2687,O 40.03%;  Fe 38.77%;  Si 18.83%;  Al 1.42%;  V 0.95%;  C 0%;,0.00,1.07,5.61
2043560,2043560,Goethite + Si,2735,Fe 46.1%;  O 38.88%;  Si 13.11%;  Al 1.91%;  C 0%;,0.00,1.07,7.76
2043561,2043561,Hematite,2764,Fe 66.01%;  O 29.76%;  Si 4.23%;  C 0%;,0.00,1.06,12.08
2043562,2043562,Goethite + Si,2738,Fe 50.22%;  O 35.81%;  Si 12.23%;  Al 1.75%;  C 0%;,0.00,1.06,13.37
2043563,2043563,Goethite,2449,Fe 55.84%;  O 31.01%;  Si 9.42%;  Al 2.76%;  V 0.97%;  C 0%;,0.00,1.13,11.21
2043564,2043564,Goethite + Si,2738,Fe 53.8%;  O 32.83%;  Si 10.49%;  Al 2.89%;  C 0%;,0.00,1.16,17.25
2043565,2043565,Goethite + Si,2832,Fe 52.72%;  O 34.38%;  Si 10.74%;  Al 2.15%;  C 0%;,0.00,1.41,54.35
2043566,2043566,Goethite,2805,Fe 60.9%;  O 30.53%;  Si 7.79%;  Na 0.78%;  C 0%;,0.00,1.05,9.92
2043567,2043567,Goethite + Si,2612,Fe 54.49%;  O 27.83%;  Si 12.48%;  Mg 2.86%;  Al 2.34%;  C 0%;,0.00,1.05,11.65
2043568,2043568,Goethite + Si,2545,Fe 54.87%;  O 31.84%;  Si 11.05%;  Al 2.25%;  C 0%;,0.00,1.23,12.08
2043569,2043569,Goethite + Si,2512,Fe 51.64%;  O 33.95%;  Si 11.13%;  Al 3.28%;  C 0%;,0.00,1.60,50.47
2043570,2043570,Smectite Fe-rich,2468,O 36.22%;  Fe 32.65%;  Si 26.19%;  Al 3.74%;  Sc 1.19%;  C 0%;,0.00,1.09,91.01
2043571,2043571,Goethite + Si,1935,Fe 47.28%;  O 31.33%;  Si 14.45%;  Ni 5.07%;  Al 1.88%;  C 0%;,0.00,1.05,37.10
2043572,2043572,Goethite + Si,2743,Fe 46.68%;  O 32.8%;  Si 12.43%;  Al 3.76%;  Ni 2.89%;  Cr 1.45%;  C 0%;,0.00,1.05,10.35
2043573,2043573,Unclassified,2266,Fe 68.16%;  O 21.08%;  Si 10.76%;  C 0%;,0.00,1.12,28.90
2043574,2043574,Goethite + Si,2843,Fe 50.53%;  O 35.45%;  Si 12.04%;  Al 1.98%;  C 0%;,0.00,1.07,10.35
2043575,2043575,Hematite,2843,Fe 66.23%;  O 28.89%;  Si 4.88%;  C 0%;,0.00,1.07,9.06
2043576,2043576,Hematite,3244,Fe 65.24%;  O 32.84%;  Si 1.92%;  C 0%;,0.00,1.08,33.21
