Grain ID,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
570,9151,Ti 38.31%;  O 33.86%;  Fe 27.83%;  C 0%;,0.2,1.11,41487.48
604,8821,Ti 40.27%;  Fe 31.38%;  O 27.51%;  Al 0.84%;  C 0%;,0,1.09,17070.25
605,8201,Fe 42.44%;  O 39.39%;  Al 8.92%;  Si 5.64%;  Ti 3.61%;  C 0%;,0.36,1.62,6408.16
606,9400,Fe 71.4%;  O 26.76%;  Ti 0.98%;  Al 0.87%;  C 0%;,0.49,1.86,25905.33
607,7541,O 43.92%;  Fe 22.75%;  Al 17.25%;  Si 15.56%;  Mg 0.52%;  C 0%;,5.65,3.45,7389.84
608,8773,Fe 69.61%;  O 27.15%;  Ti 1.9%;  Al 1.34%;  C 0%;,1.67,1.37,6199.75
609,10356,O 49.71%;  Si 49.27%;  Sn 1.03%;  C 0%;,0.08,1.42,12785.16
610,9217,Fe 71.25%;  O 23.05%;  Ti 5.7%;  C 0%;,0.17,1.41,13626.59
611,8948,Fe 39.73%;  O 34.65%;  Ti 24.17%;  Na 0.73%;  Al 0.73%;  C 0%;,0,1.11,843.38
612,6710,Ti 37.74%;  Fe 30.77%;  O 28.01%;  Au 2.76%;  Si 0.73%;  C 0%;,0,1.13,33.11
613,9708,Fe 71.28%;  O 27.78%;  Al 0.94%;  C 0%;,0,1.07,2697.66
614,9607,Ti 56.22%;  O 42.42%;  Fe 1.36%;  C 0%;,0,1.23,446.04
615,9575,Fe 74.69%;  O 25.31%;  C 0%;,1.99,2.19,93011.81
616,9343,Ti 52.68%;  O 40.34%;  Fe 6.98%;  C 0%;,0.21,1.35,8167
617,9461,Fe 70.34%;  O 28.51%;  Al 1.14%;  C 0%;,0,1.26,2212.67
635,5763,Fe 81.64%;  O 17.46%;  Al 0.9%;  C 0%;,0,1.1,335.02
636,8844,Fe 64.65%;  O 35.35%;  C 0%;,3.67,2.13,30110.56
682,9921,Fe 74.52%;  O 25.48%;  C 0%;,0,1.12,35435.76
684,9765,Fe 74.59%;  O 24.82%;  Al 0.59%;  C 0%;,0.18,1.16,33799.64
686,9603,Fe 76.85%;  O 23.15%;  C 0%;,0,1.13,20506.11
688,8619,Fe 54.77%;  O 33.3%;  Al 6.93%;  Si 5%;  C 0%;,0.39,1.47,4446.76
689,8548,Fe 57.52%;  O 32.19%;  Al 5.97%;  Si 4.31%;  C 0%;,0,1.04,136.34
690,8215,Fe 46.89%;  O 34.22%;  Al 10.6%;  Si 8.29%;  C 0%;,1.61,1.98,6608.78
691,7994,Fe 64.68%;  O 28.23%;  Al 4.98%;  Si 2.11%;  C 0%;,0,1.08,17.53
692,8492,Fe 56.94%;  O 31.74%;  Al 6.3%;  Si 4.2%;  Sb 0.82%;  C 0%;,0,1.16,111.02
693,8885,Fe 58.89%;  O 32.87%;  Al 4.82%;  Si 3.43%;  C 0%;,0,1.45,1367.33
694,8953,Fe 58.72%;  O 31.05%;  Al 5.62%;  Si 3.82%;  Sn 0.79%;  C 0%;,5.81,2.57,13334.43
695,8509,Fe 50.42%;  O 33.81%;  Al 9.08%;  Si 6.69%;  C 0%;,2.53,1.92,3955.92
696,8528,Fe 50.69%;  O 36.03%;  Al 7.74%;  Si 5.54%;  C 0%;,0,1.05,72.07
697,8555,Fe 47.56%;  O 35.77%;  Al 9.74%;  Si 6.92%;  C 0%;,0.58,2.84,10755.58
698,8693,Fe 52.04%;  O 34.54%;  Al 8.05%;  Si 5.37%;  C 0%;,0,1.08,17.53
699,8941,Fe 61.2%;  O 31.06%;  Al 4.85%;  Si 2.89%;  C 0%;,0.53,1.93,5529.72
700,8042,Fe 44.43%;  O 36.49%;  Al 10.55%;  Si 8.53%;  C 0%;,0,1.16,303.85
701,8767,Fe 55.35%;  O 34.17%;  Al 6.88%;  Si 3.6%;  C 0%;,0,1.07,33.11
702,8868,Fe 59.42%;  O 31.53%;  Al 5.93%;  Si 3.12%;  C 0%;,0,1.71,3227.45
703,8689,Fe 52%;  O 34.06%;  Al 8.34%;  Si 5.6%;  C 0%;,0,1.09,208.41
704,8877,Fe 50.18%;  O 35.79%;  Al 8.09%;  Si 5.95%;  C 0%;,0,1.35,138.29
705,8565,Fe 52.92%;  O 33.55%;  Al 7.81%;  Si 5.72%;  C 0%;,0,1.07,23.37
706,8826,Fe 50.93%;  O 36.74%;  Al 7.56%;  Si 4.77%;  C 0%;,0,1.27,1.95
707,8167,Fe 58.12%;  O 30.24%;  Al 7.29%;  Si 4.35%;  C 0%;,0,1.06,40.9
708,8313,Fe 53.2%;  O 31.53%;  Al 7.64%;  Si 5.91%;  U 1.72%;,0,1.07,23.37
709,8839,Fe 53.91%;  O 35.09%;  Al 6.27%;  Si 4.73%;  C 0%;,0,1.04,72.07
710,8549,Fe 52.5%;  O 34.26%;  Al 7.43%;  Si 5.81%;  C 0%;,0,1.08,17.53
711,7956,Fe 69.11%;  O 27.18%;  Al 2.79%;  Si 0.93%;  C 0%;,0,1.06,46.75
713,9303,Fe 74.97%;  O 25.03%;  C 0%;,0,1.05,650.55
715,3533,Fe 63.14%;  O 29.17%;  Al 3.85%;  Cl 3.85%;  C 0%;,4.18,1.97,6341.94
717,9548,Fe 71.09%;  O 26.9%;  Al 1.42%;  Si 0.59%;  C 0%;,0,1.07,564.85
749,10328,Si 49.94%;  O 49.55%;  Al 0.51%;  C 0%;,0,1.07,4559.73
751,8850,Ti 41.08%;  O 37.08%;  Fe 21.3%;  Al 0.54%;  C 0%;,0,1.28,317.49
752,8298,Ti 38.56%;  O 33.44%;  Fe 25.91%;  Al 1.46%;  V 0.63%;  C 0%;,4.16,2.42,12868.91
753,9074,Ti 53.84%;  O 39.53%;  Fe 5.97%;  V 0.66%;  C 0%;,2.5,2.49,12806.58
754,8151,Fe 68.7%;  O 26.88%;  Al 2.63%;  Ti 1.79%;  C 0%;,7.19,1.45,301.9
755,9210,Ti 45.47%;  O 40.48%;  Fe 13.11%;  Al 0.94%;  C 0%;,5.33,1.92,1246.57
756,7891,Fe 65.75%;  O 29.45%;  Ti 3.25%;  Al 1.56%;  C 0%;,0,1.08,17.53
757,8890,Ti 43.65%;  O 41.03%;  Fe 14.38%;  Al 0.94%;  C 0%;,0,1.07,23.37
758,9177,Ti 50.83%;  O 38.1%;  Fe 10.3%;  Al 0.78%;  C 0%;,0,1.07,23.37
759,9116,Ti 42.08%;  O 35.57%;  Fe 21.04%;  Al 1.32%;  C 0%;,2.9,2.98,11373.02
760,8695,Fe 59.26%;  O 30.62%;  Ti 8.27%;  Al 1.85%;  C 0%;,0,1.06,35.06
761,8471,Fe 42.87%;  O 32.61%;  Ti 22.92%;  Al 1.6%;  C 0%;,0,1.07,23.37
762,9300,Ti 52.1%;  O 38.42%;  Fe 9.48%;  C 0%;,0,1.4,522
763,9472,Ti 54.77%;  O 37.04%;  Fe 7.56%;  V 0.63%;  C 0%;,0,1.07,23.37
764,9116,Ti 42.84%;  O 37.37%;  Fe 18.64%;  Al 1.15%;  C 0%;,0,1.2,111.02
765,9417,Ti 53.59%;  O 39.13%;  Fe 6.47%;  V 0.81%;  C 0%;,0,1.12,112.97
766,8717,Fe 66.01%;  O 29.94%;  Al 2.94%;  Ti 1.1%;  C 0%;,0,1.14,173.35
767,8070,Fe 44.66%;  Ti 26.87%;  O 26.18%;  Al 2.3%;  C 0%;,0,1.07,87.65
768,9008,O 38.64%;  Ti 37.25%;  Fe 22.73%;  Al 1.38%;  C 0%;,0,1.06,29.22
769,9157,Ti 38.34%;  O 36.92%;  Fe 22.41%;  Al 1.52%;  V 0.81%;  C 0%;,0,1.07,87.65
770,8320,Fe 40.38%;  O 34.49%;  Ti 22.4%;  Al 2.1%;  Si 0.63%;  C 0%;,0,1.21,196.72
771,9207,O 38.95%;  Ti 34.3%;  Fe 25.97%;  Al 0.78%;  C 0%;,0,1.06,46.75
772,9315,Ti 61.14%;  O 35.92%;  Fe 2.94%;  C 0%;,0,1.12,37.01
773,8117,Fe 69.92%;  O 27.57%;  Al 2.51%;  C 0%;,0,1.16,1116.07
774,9084,O 42.82%;  Ti 42.54%;  Fe 13.63%;  Al 1.01%;  C 0%;,0,1.64,461.62
775,9180,Ti 47.43%;  O 39.13%;  Fe 13.44%;  C 0%;,0,1.04,62.33
776,8696,O 33.71%;  Fe 32.78%;  Ti 32.05%;  Al 1.46%;  C 0%;,0,1.17,233.73
777,9359,Ti 52.55%;  O 41.42%;  Fe 5.28%;  Al 0.75%;  C 0%;,0,1.06,29.22
778,9161,Ti 49.14%;  O 40.87%;  Fe 9.28%;  Al 0.71%;  C 0%;,0,1.08,31.16
779,9205,Ti 49.32%;  O 40.7%;  Fe 9.98%;  C 0%;,4.13,1.74,814.17
780,9230,Ti 56.48%;  O 37.09%;  Fe 5.14%;  Al 0.79%;  V 0.49%;  C 0%;,0,1.06,29.22
781,8235,Fe 60.38%;  O 31.08%;  Ti 5.44%;  Al 3.11%;  C 0%;,0,1.05,35.06
782,8712,O 39.44%;  Ti 31.07%;  Fe 28.14%;  Al 1.36%;  C 0%;,0,1.06,64.28
784,9948,Fe 74.04%;  O 25.26%;  Al 0.7%;  C 0%;,0,1.08,119000.9
802,9603,Fe 73.38%;  O 26.62%;  C 0%;,0,1.09,16265.82
842,9362,Fe 67.02%;  O 29.04%;  Al 3.11%;  Sn 0.6%;  Si 0.24%;  C 0%;,4.31,1.15,8872.09
844,9865,Fe 75.38%;  O 24.55%;  Al 0.07%;  C 0%;,0.17,1.14,111895.44
846,9507,Fe 65.8%;  O 29.53%;  Al 2.72%;  Ti 1.94%;  C 0%;,0.27,1.29,44547.43
848,9392,Fe 74.94%;  O 25.06%;  C 0%;,0.41,1.27,67279.84
849,6796,O 38.9%;  Fe 26.51%;  Al 19.25%;  Si 14.67%;  Mg 0.67%;  C 0%;,0,1.1,590.17
851,9538,Fe 73.63%;  O 26.37%;  C 0%;,0,1.11,30513.75
852,8503,Fe 44.7%;  O 37.92%;  Al 8.85%;  Si 6.99%;  Ti 1.53%;  C 0%;,8.4,1.4,2738.56
